step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,freeze_first,rob,rm_pixel,binarize_dataset,log,seed,dataset,k,algo_perc,prob_reinforcement,layers,device,save_results,epochs,val_dim,same_random_classifier,epoch_interval_switch,thermometer_bits,n_runs,grouping_factor,rescale,algo_layer,input_dim,project,thetam,train_dim,freeze_last,bs,prob_update
50.0,88.8585,3.0212806059682698,65.746,2.741978118074613,False,2,False,True,False,42,cifar10tl,1,cp+r,0.5,143_11,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,88.96549999999999,2.85461179497318,69.43,1.717387550903989,False,3,False,True,False,42,cifar10tl,1,cp+r,0.5,143_13,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,69.72725,5.184272905866359,55.789,3.3972207758695934,False,3,False,True,False,42,cifar10tl,1,cp+r,0.5,143_13_143_13,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,82.834,0.8005491864963701,72.582,7.308817688244797,False,35,False,True,False,42,cifar10tl,1,cp+r,0.5,143_143,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,82.30924999999999,0.7802267699201306,68.78400000000002,10.16190848217007,False,35,False,True,False,42,cifar10tl,1,cp+r,0.5,143_143_143_143,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,10.3055,0.1252886666861768,10.095,0.2741258834915087,False,2,False,True,False,42,cifar10tl,1,cp+r,0.5,264_11,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,10.1435,0.08522910301065,9.965999999999998,0.2672526894158409,False,33,False,True,False,42,cifar10tl,1,cp+r,0.5,264_132,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,96.34425,0.7239872668079166,74.09,2.459528410081902,False,6,False,True,False,42,cifar10tl,1,cp+r,0.5,264_24,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,87.8775,3.028797822569214,70.111,3.067264090358051,False,6,False,True,False,42,cifar10tl,1,cp+r,0.5,264_24_264_24,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,83.4725,0.438681262421818,71.65899999999999,6.286048758958205,False,66,False,True,False,42,cifar10tl,1,cp+r,0.5,264_264,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,10.181,0.0916801505234362,9.989,0.2286678814350631,False,11,False,True,False,42,cifar10tl,1,cp+r,0.5,264_44,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,93.09525,1.0323822269392322,75.40100000000001,5.192651442182501,False,22,False,True,False,42,cifar10tl,1,cp+r,0.5,264_88,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,94.818,0.9331363780284224,76.345,0.7905599281521948,False,22,False,True,False,42,cifar10tl,1,cp+r,0.5,264_88_264_88,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,10.056,0.0692387174924546,9.878,0.2421900080515297,False,2,False,True,False,42,cifar10tl,1,cp+r,0.5,44_11,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,10.0515,0.065328018491303,9.875999999999998,0.2448754785600227,False,5,False,True,False,42,cifar10tl,1,cp+r,0.5,44_22,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,53.02025,6.781822344510357,42.029,3.982063409841688,False,1,False,True,False,42,cifar10tl,1,cp+r,0.5,44_4,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,77.37375,1.328591947326191,70.523,5.080984255043505,False,11,False,True,False,42,cifar10tl,1,cp+r,0.5,44_44,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,71.35825000000001,0.9496427288722856,59.987,11.564478414524366,False,11,False,True,False,42,cifar10tl,1,cp+r,0.5,44_44_44_44,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,26.85175,4.528078517704833,25.31,6.785335658609674,False,1,False,True,False,42,cifar10tl,1,cp+r,0.5,44_4_44_4,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,96.901,0.9011715985315986,69.22400000000002,1.5556297760071307,False,2,False,True,False,42,cifar10tl,1,cp+r,0.5,561_11,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,93.99125,1.0372344539688187,77.134,3.052530753325838,False,46,False,True,False,42,cifar10tl,1,cp+r,0.5,561_187,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,99.06475,0.2321514861033657,76.56300000000002,0.4374025605777824,False,8,False,True,False,42,cifar10tl,1,cp+r,0.5,561_33,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,99.1525,0.4869047648154609,77.90100000000001,1.0017928927677613,False,12,False,True,False,42,cifar10tl,1,cp+r,0.5,561_51,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,97.385,0.5774231550604824,75.57700000000001,1.3252701611369664,False,12,False,True,False,42,cifar10tl,1,cp+r,0.5,561_51_561_51,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
50.0,84.27275,0.4439882459029758,73.46399999999998,7.250117516288959,False,140,False,True,False,42,cifar10tl,1,cp+r,0.5,561_561,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-cifar10tl-baldassi,0,,True,100,1
