step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,rescale,log,freeze_last,layers,rob,thermometer_bits,algo_layer,binarize_dataset,k,dataset,input_dim,grouping_factor,same_random_classifier,prob_reinforcement,prob_update,algo_perc,project,seed,save_results,val_dim,thetam,epochs,device,bs,n_runs,rm_pixel,epoch_interval_switch,freeze_first,train_dim
50.0,98.77325,0.1008839060504692,80.94,0.354767529517572,False,False,True,525,0.0,0,one,True,1,cifar10tl,,105,False,0.5,1,cp+r,bnn-cifar10tl-rob,42,True,10000,0,50,0,100,10,False,0,False,
50.0,94.4445,0.0689002902751495,83.113,0.2681436182347066,False,False,True,525,0.25,0,one,True,1,cifar10tl,,105,False,0.5,1,cp+r,bnn-cifar10tl-rob,42,True,10000,0,50,0,100,10,False,0,False,
50.0,90.72825,0.0979671501065526,82.378,0.3276827734257625,False,False,True,525,0.5,0,one,True,1,cifar10tl,,105,False,0.5,1,cp+r,bnn-cifar10tl-rob,42,True,10000,0,50,0,100,10,False,0,False,
50.0,88.286,0.1031273484581084,81.29100000000001,0.3704173322078757,False,False,True,525,0.75,0,one,True,1,cifar10tl,,105,False,0.5,1,cp+r,bnn-cifar10tl-rob,42,True,10000,0,50,0,100,10,False,0,False,
50.0,85.578125,0.2198783399405195,79.42875,0.397348634702575,False,False,True,525,1.0,0,one,True,1,cifar10tl,,105,False,0.5,1,cp+r,bnn-cifar10tl-rob,42,True,10000,0,50,0,100,10,False,0,False,
50.0,95.32875,0.2318006956417558,78.86300000000001,0.4868069432536887,False,False,True,135,0.0,0,one,True,1,cifar10tl,,135,False,0.5,1,cp+r,bnn-cifar10tl-rob,42,True,10000,0,50,0,100,10,False,0,False,
50.0,91.71725,0.2945641907971847,81.59,0.2481934729198184,False,False,True,135,0.25,0,one,True,1,cifar10tl,,135,False,0.5,1,cp+r,bnn-cifar10tl-rob,42,True,10000,0,50,0,100,10,False,0,False,
50.0,88.05075,0.3800823101645207,80.80699999999999,0.3885884712649087,False,False,True,135,0.5,0,one,True,1,cifar10tl,,135,False,0.5,1,cp+r,bnn-cifar10tl-rob,42,True,10000,0,50,0,100,10,False,0,False,
50.0,85.42349999999999,0.4611333863428229,79.421,0.5350037383046957,False,False,True,135,0.75,0,one,True,1,cifar10tl,,135,False,0.5,1,cp+r,bnn-cifar10tl-rob,42,True,10000,0,50,0,100,10,False,0,False,
50.0,83.88074999999999,0.3307643609883012,78.39500000000001,0.446794136040303,False,False,True,135,1.0,0,one,True,1,cifar10tl,,135,False,0.5,1,cp+r,bnn-cifar10tl-rob,42,True,10000,0,50,0,100,10,False,0,False,
50.0,99.2815,0.0767479641423792,81.205,0.3569103528899087,False,False,True,2025,0.0,0,one,True,1,cifar10tl,,135,False,0.5,1,cp+r,bnn-cifar10tl-rob,42,True,10000,0,50,0,100,10,False,0,False,
50.0,93.62825,0.0479198549663911,83.43500000000002,0.2413814408772954,False,False,True,2025,0.25,0,one,True,1,cifar10tl,,135,False,0.5,1,cp+r,bnn-cifar10tl-rob,42,True,10000,0,50,0,100,10,False,0,False,
50.0,89.99600000000001,0.1126898398259578,82.419,0.3440188948299211,False,False,True,2025,0.5,0,one,True,1,cifar10tl,,135,False,0.5,1,cp+r,bnn-cifar10tl-rob,42,True,10000,0,50,0,100,10,False,0,False,
50.0,87.70725,0.0903150734927449,81.30700000000002,0.4146576901493571,False,False,True,2025,0.75,0,one,True,1,cifar10tl,,135,False,0.5,1,cp+r,bnn-cifar10tl-rob,42,True,10000,0,50,0,100,10,False,0,False,
50.0,84.86138888888888,0.1197167438808477,79.2388888888889,0.4877258894193311,False,False,True,2025,1.0,0,one,True,1,cifar10tl,,135,False,0.5,1,cp+r,bnn-cifar10tl-rob,42,True,10000,0,50,0,100,10,False,0,False,
50.0,96.03275,0.6097955087568303,77.787,0.4642423935833502,False,False,True,75,0.0,0,one,True,1,cifar10tl,,75,False,0.5,1,cp+r,bnn-cifar10tl-rob,42,True,10000,0,50,0,100,10,False,0,False,
50.0,93.103,0.550556309563334,79.95200000000001,0.4455962297865656,False,False,True,75,0.25,0,one,True,1,cifar10tl,,75,False,0.5,1,cp+r,bnn-cifar10tl-rob,42,True,10000,0,50,0,100,10,False,0,False,
50.0,89.12325000000001,0.3926099368329835,79.76299999999999,0.4628185389545214,False,False,True,75,0.5,0,one,True,1,cifar10tl,,75,False,0.5,1,cp+r,bnn-cifar10tl-rob,42,True,10000,0,50,0,100,10,False,0,False,
50.0,85.85025,0.5201531625396524,78.44999999999999,0.4082646200688942,False,False,True,75,0.75,0,one,True,1,cifar10tl,,75,False,0.5,1,cp+r,bnn-cifar10tl-rob,42,True,10000,0,50,0,100,10,False,0,False,
50.0,84.90275,0.4727121878056475,77.94300000000001,0.6116379648125166,False,False,True,75,1.0,0,one,True,1,cifar10tl,,75,False,0.5,1,cp+r,bnn-cifar10tl-rob,42,True,10000,0,50,0,100,10,False,0,False,
