step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
0,0.4926799923181534,0.0575557891310852,0.6722200036048889,0.0408511594548572,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
1,0.723755007982254,0.0243490140924504,0.7406099975109101,0.0196827649249544,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
2,0.7789525032043457,0.016833143602974,0.7645899951457977,0.0147079245225544,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
3,0.8098050057888031,0.0140218847806563,0.777209997177124,0.0120265900955944,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
4,0.832667487859726,0.0132980524016651,0.7819999933242798,0.0104299483096231,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
5,0.8522599995136261,0.0138486984233998,0.7851599991321564,0.0097945960689529,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
6,0.869620007276535,0.0138091960720172,0.7859800040721894,0.0104879762326631,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
7,0.8850824892520904,0.0137681015356261,0.7849999964237213,0.0114196277079525,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
8,0.8994975030422211,0.0140495078644203,0.7836700081825256,0.0119230857217429,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
9,0.9129924952983856,0.0139796562901022,0.7811099946498871,0.0131552653760864,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
10,0.9250025033950806,0.0146783156098343,0.7807199954986572,0.0113481973068755,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
11,0.9331900000572204,0.0161652522610937,0.7770900070667267,0.014996231164195,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
12,0.9378049910068512,0.0174936024464019,0.7788600027561188,0.0104673015540307,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
13,0.9457650005817412,0.0151436366193986,0.7752799987792969,0.0143872690133117,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
14,0.9537800014019012,0.0163039882984492,0.773850005865097,0.0118434929417414,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
15,0.9596699953079224,0.0204112007638385,0.7730200052261352,0.0141169170036749,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
16,0.9672625005245208,0.0162330214349102,0.7711899995803833,0.0143769561559755,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
17,0.9716300070285796,0.0158862102313427,0.7723699927330017,0.0135222008836298,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
18,0.9765625059604645,0.0157187830523334,0.7739699959754944,0.0107718217601402,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
19,0.9808299958705902,0.0164537082080473,0.7737799942493438,0.0103038632962591,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
20,0.9825599908828736,0.0156463695196429,0.7712700068950653,0.0148147998566271,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
21,0.9847525000572204,0.0148100921375235,0.773230004310608,0.0104865699812457,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
22,0.9925849974155426,0.0110784923407696,0.7729499995708465,0.0112107330583149,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
23,0.9946049928665162,0.0091371510437501,0.772819995880127,0.0115926493629961,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
24,0.9937350034713746,0.0126060102623385,0.7725699961185455,0.0111334802051778,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
25,0.9949899971485138,0.0093394031643541,0.772409999370575,0.0114029421383575,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
26,0.9981399953365326,0.0033511039851051,0.7715399980545044,0.0118915277531677,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
27,0.9991324961185456,0.0014721943081513,0.7717399954795837,0.0116389253460845,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
28,0.9994674980640412,0.0008724372363586,0.7713800013065338,0.0120370081725068,0.01,42,10_10,9216,10,mlp-bcifar10tl-sgd,0,10,True,bcifar10tl
