step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,momentum,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
0,0.7322375118732453,0.0014979163403299,0.7984799981117249,0.0055470347344916,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
1,0.826942503452301,0.0010738905191748,0.821969997882843,0.0039620814544239,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
2,0.8542100071907044,0.0007599467607486,0.8309100031852722,0.003078462162956,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
3,0.8728925108909606,0.0007030442144681,0.8365000009536743,0.0030564653938068,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
4,0.8878275036811829,0.0008260926379429,0.839740002155304,0.0030884349800105,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
5,0.900662499666214,0.0009112026643808,0.8415999948978424,0.0035552638478783,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
6,0.9122399985790252,0.0009859866156041,0.8427599966526031,0.0033263180559493,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
7,0.922664999961853,0.0007226954070968,0.8433299958705902,0.0035578177966295,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
8,0.93231999874115,0.0009908807657582,0.8434599995613098,0.0033239099625862,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
9,0.9414149999618532,0.0008903012520826,0.8435000061988831,0.0031241010502396,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
10,0.9497049987316132,0.0009050457410917,0.8434699892997741,0.0032246145350198,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
11,0.9574274957180025,0.0009173632153152,0.8433200001716614,0.0031820681578181,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
12,0.9642949938774108,0.001063528656521,0.842960000038147,0.0028800051659686,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
13,0.9706474959850312,0.0009673015800406,0.8428500056266784,0.0028577100308808,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
14,0.9760100066661834,0.0008718688752849,0.8426800072193146,0.0028212788744363,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
15,0.9807375073432922,0.0007273538219297,0.842249995470047,0.0028011634455128,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
16,0.984579998254776,0.0006846295355485,0.8421100020408631,0.0026949788859329,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
17,0.987957501411438,0.0004987436046418,0.8418500006198884,0.0027666759555914,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
18,0.99067000746727,0.0004046237610889,0.8417299926280976,0.003124754431244,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
19,0.9927149891853332,0.0002574319071056,0.8419699966907501,0.0032655974835052,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
20,0.994362497329712,0.0002098293459882,0.842170000076294,0.0033472541043946,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
21,0.9956350147724152,0.0001347204008406,0.8422000050544739,0.0035179562344844,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
22,0.9966950058937072,0.0001767062850389,0.8421899974346161,0.0034774747756257,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
23,0.9974224984645844,0.0001429419921867,0.8423600018024444,0.0034514379404273,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
24,0.9980374991893768,0.0001184553086021,0.8423799932003021,0.0033537462613847,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
25,0.9984625041484833,0.0001124971454136,0.8422999918460846,0.0033603547635157,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
26,0.9987950026988984,5.098930714660154e-05,0.8421999990940094,0.0031244231398569,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
27,0.999042510986328,6.620210913695433e-05,0.8423799932003021,0.0031470041692504,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
28,0.9992600023746492,9.885878196268308e-05,0.8424099981784821,0.0032577550349752,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
29,0.999402505159378,9.1138632318598e-05,0.8425399959087372,0.0034120989326758,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
30,0.9995324969291688,8.370699924108881e-05,0.8427399933338166,0.0033574390454653,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
31,0.9996499955654145,6.518684232528867e-05,0.8429100155830384,0.0032129296664402,0.01,0.0,42,1035,9216,10,mlp-cifar10tl-sgd,0,10,True,cifar10tl
