step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,freeze_first,rob,rm_pixel,binarize_dataset,log,seed,dataset,k,algo_perc,prob_reinforcement,layers,device,save_results,epochs,val_dim,same_random_classifier,epoch_interval_switch,thermometer_bits,n_runs,grouping_factor,rescale,algo_layer,input_dim,project,thetam,train_dim,freeze_last,bs,prob_update
50.0,81.41040000000001,0.9793572586140348,78.00399999999999,1.3015314056910043,False,2,False,True,False,42,fmnist,1,cp+r,0.5,165_11,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,83.4364,0.8460741338677152,80.479,0.8439958530703816,False,3,False,True,False,42,fmnist,1,cp+r,0.5,165_15,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,79.7718,1.0085627199138367,77.907,1.152623529171603,False,3,False,True,False,42,fmnist,1,cp+r,0.5,165_15_165_15,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,74.2386,0.3625940429736833,73.042,4.294097809784961,False,41,False,True,False,42,fmnist,1,cp+r,0.5,165_165,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,84.24159999999999,0.4401088956156197,82.53699999999999,1.267470315234245,False,8,False,True,False,42,fmnist,1,cp+r,0.5,165_33,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,81.48299999999999,0.3787719630595701,80.069,0.4563430726985986,False,8,False,True,False,42,fmnist,1,cp+r,0.5,165_33_165_33,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,83.4514,0.2896426073629371,81.121,1.6310085836683998,False,13,False,True,False,42,fmnist,1,cp+r,0.5,165_55,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,82.86359999999999,1.176828891555607,78.722,1.00666578366407,False,2,False,True,False,42,fmnist,1,cp+r,0.5,363_11,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,84.4394,0.2856376025666081,81.88600000000001,2.4358456437139044,False,30,False,True,False,42,fmnist,1,cp+r,0.5,363_121,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,87.23939999999999,0.3839042068016419,83.55799999999999,0.4210178143499415,False,8,False,True,False,42,fmnist,1,cp+r,0.5,363_33,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,85.45060000000001,0.3657715680585348,82.787,0.371484858372451,False,8,False,True,False,42,fmnist,1,cp+r,0.5,363_33_363_33,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,74.56899999999999,0.3155493622240409,74.681,3.9075758469926094,False,90,False,True,False,42,fmnist,1,cp+r,0.5,363_363,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,19.1198,3.5350792296637428,18.928,3.689210755703718,False,2,False,True,False,42,fmnist,1,cp+r,0.5,44_11,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,18.6854,2.998002008004665,18.637,3.0168959213071966,False,5,False,True,False,42,fmnist,1,cp+r,0.5,44_22,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,59.4696,4.497489059464179,57.453,4.9250970548812525,False,1,False,True,False,42,fmnist,1,cp+r,0.5,44_4,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,72.7442,0.6933953850437703,71.64999999999999,4.410578193389163,False,11,False,True,False,42,fmnist,1,cp+r,0.5,44_44,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,67.674,0.76658619867566,68.038,3.527599183580812,False,11,False,True,False,42,fmnist,1,cp+r,0.5,44_44_44_44,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,45.296,4.785847970840696,45.066,4.943915856889152,False,1,False,True,False,42,fmnist,1,cp+r,0.5,44_4_44_4,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,28.9772,3.6541426573137503,28.541000000000004,3.597211280978642,False,2,False,True,False,42,fmnist,1,cp+r,0.5,88_11,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,26.027800000000003,3.9097288345868697,25.684999999999995,3.770454216669392,False,5,False,True,False,42,fmnist,1,cp+r,0.5,88_22,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,27.239,4.578757320496469,26.984,4.369510727758886,False,11,False,True,False,42,fmnist,1,cp+r,0.5,88_44,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,77.5734,2.7860257069883603,74.748,2.959009293665702,False,2,False,True,False,42,fmnist,1,cp+r,0.5,88_8,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,73.45779999999999,0.6990790799330224,72.543,4.58523728938863,False,22,False,True,False,42,fmnist,1,cp+r,0.5,88_88,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,70.145,1.2910817944654007,68.643,1.5383305886577174,False,2,False,True,False,42,fmnist,1,cp+r,0.5,88_8_88_8,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,77.13619999999999,3.524476636324888,72.903,2.989364648215401,False,2,False,True,False,42,fmnist,1,cp+r,0.5,880_11,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,58.2788,3.689916443498419,57.10200000000001,3.4429719720032588,False,27,False,True,False,42,fmnist,1,cp+r,0.5,880_110,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,73.4504,2.271175343296944,70.72200000000001,2.1209988213103763,False,5,False,True,False,42,fmnist,1,cp+r,0.5,880_22,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,55.8064,2.363273966344146,54.523,2.6567877220432954,False,55,False,True,False,42,fmnist,1,cp+r,0.5,880_220,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,66.238,2.428921736079613,64.285,2.201723188777372,False,11,False,True,False,42,fmnist,1,cp+r,0.5,880_44,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,89.1036,0.1967288489266373,85.014,0.5645033215137006,False,20,False,True,False,42,fmnist,1,cp+r,0.5,880_80,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,88.9318,0.203836110637934,85.096,0.2962498945147481,False,20,False,True,False,42,fmnist,1,cp+r,0.5,880_80_880_80,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
50.0,74.7908,0.290419283106341,73.636,3.367774339233552,False,220,False,True,False,42,fmnist,1,cp+r,0.5,880_880,0,True,50,10000,False,0,0,10,1,False,baldassi,,bnn-fmnist-baldassi,0,,True,100,1
