layers,grouping_factor,freeze_first,epoch_interval_switch,step,mean_val_acc,std_val_acc
1035,1,False,0,50,72.421,4.406640065476945
1035,45,False,0,50,85.80600000000001,0.3266054364383893
1035,9,False,0,50,83.249,0.5333635408112053
1035,69,False,0,50,85.952,0.3669635162004837
1035,5,False,0,50,80.781,1.543779273226728
1035,345,False,0,50,83.771,0.4498011906510629
1035,207,False,0,50,85.003,0.375501146617572
1035,15,False,0,50,84.295,0.4326982525707465
1035,115,False,0,50,85.732,0.3018019954282004
1035,3,False,0,50,78.65799999999999,2.189651418224676
1035,23,False,0,50,85.071,0.4338061523051255
1035,1035,False,0,50,80.285,0.5502978991217189
135,1,False,0,50,72.272,5.381036248819656
135,5,False,0,50,78.83099999999999,2.531931410340072
135,45,False,0,50,85.063,0.3792404690079015
135,45,False,0,50,85.063,0.3792404690079015
135,15,False,0,50,83.52600000000001,0.3915269254257405
135,135,False,0,50,84.841,0.4275108835521673
2025,45,False,0,50,85.873,0.3544024705206085
2025,135,False,0,50,85.65599999999998,0.3611155555282048
2025,5,False,0,50,80.588,1.6825562562825511
2025,405,False,0,50,83.505,0.404097073046122
2025,25,False,0,50,85.285,0.4017254452151791
2025,15,False,0,50,84.20899999999999,0.4802418372260193
2025,2025,False,0,50,76.696,0.9800362805075687
2025,1,False,0,50,74.33800000000001,4.707827524453291
2025,75,False,0,50,86.02600000000001,0.3541248994979655
2025,675,False,0,50,81.85499999999999,0.4980238726986683
255,1,False,0,50,71.62299999999999,6.878006897996606
255,255,False,0,50,84.06800000000001,0.4226319649266687
255,51,False,0,50,85.533,0.3770661598299296
255,5,False,0,50,80.316,1.3777695340255167
255,85,False,0,50,85.519,0.420064809814444
255,15,False,0,50,83.858,0.581832354625358
4095,1,False,0,50,74.47800000000001,3.7589295166458094
4095,65,False,0,50,86.07999999999998,0.3462818376858806
4095,5,False,0,50,80.092,1.400696652066789
4095,819,False,0,50,81.45599999999999,0.5888067028603966
4095,455,False,0,50,83.244,0.5226045881501182
4095,117,False,0,50,85.819,0.3728106460091752
4095,4095,False,0,50,69.83500000000001,1.1305480480231185
4095,15,False,0,50,84.25800000000001,0.4566009685101913
4095,1365,False,0,50,79.363,0.4928612606223208
4095,21,False,0,50,84.952,0.4028730155603211
4095,45,False,0,50,85.963,0.3450297893741291
525,15,False,0,50,84.09400000000001,0.6910732394053636
525,175,False,0,50,85.063,0.4141671696844694
525,75,False,0,50,85.766,0.3737259839924293
525,105,False,0,50,85.621,0.4306958194467262
525,525,False,0,50,82.358,0.5111599010529311
525,5,False,0,50,80.49000000000001,2.0155175789635527
525,1,False,0,50,73.1,4.301384789938132
525,35,False,0,50,85.54999999999998,0.3532075247719903
525,25,False,0,50,85.053,0.4741085201606159
75,1,False,0,50,73.31199999999998,3.6560142231670834
75,5,False,0,50,78.527,2.298125081210528
75,75,False,0,50,84.54100000000001,0.488954667292039
75,15,False,0,50,83.086,0.4628942763862086
75,25,False,0,50,83.886,0.2256939914525353
