step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,log,thetam,algo_perc,dataset,bs,rob,project,layers,input_dim,same_random_classifier,rm_pixel,binarize_dataset,save_results,epochs,seed,train_dim,n_runs,device,algo_layer,thermometer_bits,freeze_last,k,grouping_factor,epoch_interval_switch,prob_reinforcement,prob_update,val_dim,rescale,freeze_first
0.0,10.6176,1.5364082270021855,10.489,1.6723005112718228,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
1.0,72.2772,0.4007005864732388,80.42399999999999,0.5063437567502947,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
2.0,81.40899999999999,0.1091723408194558,82.315,0.4836372607647157,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
3.0,82.825,0.0821669033127095,83.239,0.3747118893229851,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
4.0,83.6422,0.1102921574727789,83.87,0.2779568311806714,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
5.0,84.23320000000001,0.1106894755611419,84.21900000000001,0.372409720603529,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
6.0,84.6576,0.1478669672374493,84.522,0.2440000000000013,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
7.0,84.976,0.0796693165528606,84.79,0.2539685019840056,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
8.0,85.26939999999999,0.0946786142695406,85.031,0.2864768751574905,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
9.0,85.50319999999999,0.1242520019959419,85.18299999999999,0.3041397705003411,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
10.0,85.7396,0.087222932764268,85.229,0.2240736486068833,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
11.0,85.911,0.0640203092776028,85.374,0.2149511572427575,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
12.0,86.0966,0.0842997034395742,85.571,0.2443542510373003,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
13.0,86.2424,0.0608328858431018,85.583,0.2923713392246223,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
14.0,86.3904,0.0761304144215702,85.72999999999999,0.2761883415352646,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
15.0,86.5422,0.070025423954445,85.739,0.2677480158656657,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
16.0,86.6478,0.0576988734725387,85.849,0.292145511688954,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
17.0,86.742,0.0768426964649225,85.93100000000001,0.3177247236209385,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
18.0,86.85679999999999,0.0872843628607092,85.98700000000001,0.3220884971556728,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
19.0,86.97760000000001,0.0973850091133146,85.99,0.3225833225695344,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
20.0,87.02799999999999,0.0893442779365326,86.115,0.3669400495993859,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
21.0,87.143,0.0783236873493539,86.06,0.2990986459347491,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
22.0,87.20060000000001,0.0847398371487705,86.13899999999998,0.3175043306791271,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
23.0,87.2478,0.0934042825570627,86.149,0.3245134820003634,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
24.0,87.3304,0.1047885489927213,86.22,0.302754025571913,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
25.0,87.4066,0.1253763933122958,86.293,0.1895811172031618,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
26.0,87.4882,0.095580123456711,86.359,0.3224422428901023,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
27.0,87.5376,0.1030991755544099,86.31499999999998,0.2973970410074716,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
28.0,87.5826,0.0968382155969417,86.354,0.3124803993853042,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
29.0,87.6378,0.079947232597507,86.32300000000001,0.2929863478048082,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
30.0,87.67100000000002,0.0769584303374222,86.39500000000001,0.2956095397648754,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
31.0,87.7468,0.0876182629364415,86.38399999999999,0.2624195114697079,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
32.0,87.7784,0.0716926774503523,86.454,0.3448245930904589,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
33.0,87.80359999999999,0.0986135893272317,86.439,0.2575829963332208,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
34.0,87.8706,0.1118250419181655,86.38299999999998,0.3363346547711063,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
35.0,87.92179999999999,0.0629186776720561,86.41,0.2855871145552614,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
36.0,87.9266,0.0519311082107815,86.52000000000001,0.3360952246015988,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
37.0,87.97,0.0958415358808474,86.488,0.3146362979695745,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
38.0,88.0144,0.0972370299834394,86.474,0.2780000000000007,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
39.0,88.0522,0.0721301601273705,86.512,0.2714332330426767,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
40.0,88.08999999999999,0.0913236004546465,86.561,0.295311699734366,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
41.0,88.12060000000001,0.0829652939487354,86.603,0.3205011700446671,False,0,cp+r,fmnist,100,131,bnn-fmnist-localloss,525_525,,False,False,True,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,10000,False,False
