step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
0,0.634497994184494,0.0083207268912205,0.7578799962997437,0.0082690802033372,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
1,0.7900040030479432,0.0027882969277113,0.8046000063419342,0.0047734665454845,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
2,0.8179939985275269,0.0015767570376705,0.8198199987411499,0.0047732169139028,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
3,0.8304719984531402,0.0013210047460725,0.828959995508194,0.0039580819881328,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
4,0.8388679981231689,0.0011188634263788,0.8345200061798096,0.0044935049325526,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
5,0.8448359966278076,0.0009810153535743,0.8391799986362457,0.0046672897901578,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
6,0.8496200025081635,0.0009570315092386,0.8423900008201599,0.0045036595722656,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
7,0.8533999979496002,0.0009047388458913,0.8454800009727478,0.0038597407528335,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
8,0.8566379964351654,0.0009724731640695,0.8474900007247925,0.00335632288023,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
9,0.8596159934997558,0.0011122501505715,0.8498999953269959,0.0031993704123244,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
10,0.862419992685318,0.000962119846586,0.8514499962329865,0.0033729017603699,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
11,0.8650180101394653,0.0009699246264576,0.8533799946308136,0.0033456920705068,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
12,0.8674440085887909,0.0009958222524206,0.8549600005149841,0.0033055093081871,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
13,0.8698059976100921,0.0009465267591477,0.8563699960708618,0.003389703110603,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
14,0.8718540012836457,0.0010310814985989,0.8575200080871582,0.0034675060972361,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
15,0.8737499952316284,0.0011263850209936,0.8586899936199188,0.0031822904134746,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
16,0.8756680011749267,0.0009515946324107,0.8598600029945374,0.0031222534274139,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
17,0.8774100005626678,0.000929219587424,0.8608099937438964,0.0030936802113428,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
18,0.8790679991245269,0.0009552029484565,0.8616100013256073,0.0031967017310783,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
19,0.8807340025901794,0.0010758427003649,0.8623799979686737,0.0030109107236889,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
20,0.8822960078716278,0.0010312265177989,0.8629999935626984,0.0030186120672271,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
21,0.8839439988136292,0.0011239488727321,0.8632900059223175,0.003023723478771,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
22,0.8853940010070801,0.0011757823683683,0.8640200018882751,0.003083441515986,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
23,0.8869500100612641,0.0012189580259937,0.8645799994468689,0.0030340697986168,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
24,0.8884059965610505,0.0012182559552569,0.8652399957180024,0.002923083495186,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
25,0.8898419976234436,0.0012307464239178,0.8658700048923492,0.0028941431757568,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
26,0.8910420060157775,0.0011443279595163,0.8661899983882904,0.0030716294312295,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
27,0.8924440026283265,0.0011822584974756,0.8665499985218048,0.0030656926526593,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
28,0.8938139975070953,0.0010733253249357,0.8670999944210053,0.0029681631516449,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
29,0.895195996761322,0.0010815796408624,0.8674800038337708,0.0030779113938291,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
30,0.8964039981365204,0.0011272219517509,0.8676899969577789,0.0031611545361656,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
31,0.8977420091629028,0.0011451279533716,0.8679999947547913,0.0031717421691163,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
32,0.8989839971065521,0.0011737130076516,0.8680600106716156,0.0031414040660119,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
33,0.9003279983997345,0.0012634951519088,0.8682600080966949,0.0031664508000629,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
34,0.9015680074691772,0.0012673763106273,0.8687099993228913,0.0036451183204814,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
35,0.902884006500244,0.0012748567785632,0.8686299979686737,0.0036241029199664,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
36,0.9042340040206908,0.0011562966625179,0.8687900006771088,0.0037283904841191,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
37,0.9056859970092772,0.0011839241994795,0.8690899968147278,0.0038198079520661,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
38,0.9068840026855468,0.0011902227498841,0.8694700002670288,0.0037560772841377,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
39,0.9081659972667694,0.0012559589468594,0.8694400072097779,0.0036865211713517,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
40,0.9093360126018524,0.0013674991348699,0.8697200000286103,0.0037862507745884,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
41,0.9106100022792816,0.0013647746354067,0.8699400007724762,0.0038709736839101,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
42,0.9119840025901794,0.0013649838981194,0.8701699912548065,0.0040603053202761,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
43,0.9132759988307952,0.0013206531374974,0.8699900031089782,0.003829478659668,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
44,0.9144979894161224,0.0013391165023043,0.8698500037193299,0.0040951681452736,0.01,42,105_105,784,10,mlp-bfmnist-sgd,0,10,True,bfmnist
