step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,momentum,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
0,0.7664160132408142,0.0010567780751893,0.8138400018215179,0.0055692340168642,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
1,0.8258400082588195,0.0009878446660485,0.8326599955558777,0.0045480143202585,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
2,0.8404039978981018,0.0010257321805607,0.8426200032234192,0.0041397562453134,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
3,0.8494040012359619,0.0008851115289246,0.8493399977684021,0.0036527310354481,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
4,0.8559619903564453,0.0008603475107392,0.8543099939823151,0.0038805735404024,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
5,0.860916006565094,0.0006696133890393,0.858430004119873,0.0035640028464878,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
6,0.865093994140625,0.0006961088746084,0.8613400042057038,0.0037818468890457,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
7,0.8685199856758118,0.0007774340190801,0.8640100121498108,0.0036095588146963,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
8,0.871586000919342,0.0007036443914976,0.8658999979496003,0.0035645540699324,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
9,0.8744579911231994,0.0008167593986976,0.8680199980735779,0.0035720646499285,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
10,0.8770839989185333,0.0009225516586895,0.869839996099472,0.0033944660208294,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
11,0.8794099926948548,0.0009190426242967,0.8714999914169311,0.0032981785041946,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
12,0.8816519856452942,0.0008951113925542,0.8731000006198884,0.0032270669296238,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
13,0.883629995584488,0.0008237605252834,0.8743599951267242,0.0031493448017794,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
14,0.885478001832962,0.000764009811295,0.8756900072097779,0.0030200785289198,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
15,0.887362003326416,0.000796063544524,0.8767100036144256,0.0031446590677309,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
16,0.8890820026397706,0.0007275927126363,0.8780499994754791,0.003212866302178,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
17,0.8909079968929291,0.0007601153140718,0.8789699971675873,0.0031912553444573,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
18,0.8926500082015991,0.0007545803695431,0.8799700021743775,0.0031093528592882,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
19,0.8942059993743896,0.0007633642641915,0.8807300090789795,0.0032131181379915,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
20,0.8957839906215668,0.0007441445220584,0.8816399931907654,0.0033511797763177,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
21,0.8972339987754822,0.0007636874740589,0.882450008392334,0.003382673563955,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
22,0.8987259984016418,0.0008165796585229,0.8829100072383881,0.003060207948337,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
23,0.9000980198383332,0.0007714657874683,0.8836399912834167,0.0028910855909755,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
24,0.9013840019702912,0.0008233957815815,0.8841400027275086,0.0027936420984361,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
25,0.9027280032634736,0.0009948323131234,0.8848500072956085,0.0029121356322378,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
26,0.9041560053825378,0.0009417749762324,0.8854799926280975,0.0028180745871735,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
27,0.905453997850418,0.0008920614836063,0.8861199975013733,0.0028522925031828,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
28,0.9067280054092408,0.0008236112410992,0.8865899980068207,0.003009127686991,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
29,0.9079719960689544,0.0009028903209603,0.8872800052165986,0.0030045978840774,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
30,0.9091600060462952,0.0008398039024047,0.8876300096511841,0.0031189946745286,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
31,0.9103179991245268,0.0009147468891478,0.8879200100898743,0.0030645784041854,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
32,0.9115800082683564,0.0007880646762822,0.8882700026035308,0.0028677749645258,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
33,0.9128319919109344,0.0008799227741108,0.8884800016880036,0.0029372831147169,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
34,0.9139919996261596,0.0008955110644575,0.8891600012779236,0.0028580501471274,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
35,0.9151320099830628,0.0009088975897187,0.8895199954509735,0.0030498451394756,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
36,0.916295999288559,0.0009094571139574,0.8897999942302703,0.0030841635075364,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
37,0.9174139976501464,0.0008141234293109,0.8901199996471405,0.0030002593530255,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
38,0.91845600605011,0.0007836230300607,0.8906599938869476,0.0029506585313688,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
39,0.9195800006389618,0.0008187720375223,0.8910199940204621,0.0030370357247539,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
40,0.9206999897956848,0.0007863309739121,0.8913599848747253,0.0028185859659086,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
41,0.9218259990215302,0.0007467843210713,0.891700005531311,0.0029226665641799,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
42,0.9228519916534424,0.0007865538750636,0.8920500040054321,0.002973970271574,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
43,0.9239279985427856,0.0008253059848137,0.8922800064086914,0.0029352357724466,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
44,0.9249099969863892,0.0008672347820786,0.8925100088119506,0.0030638018889947,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
45,0.9258760035037994,0.0007608295921711,0.8926399946212769,0.0030585033910418,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
46,0.9268540024757386,0.0007700912962569,0.8928099989891052,0.0030562866695426,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
47,0.9278559923171996,0.000689856176382,0.8928699910640716,0.0031524765541982,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
48,0.9287700057029724,0.0006629063431082,0.8930099964141845,0.0032293858408164,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
49,0.9297119975090028,0.0006021590872619,0.8931900024414062,0.0033440853485378,0.01,0.0,42,1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
0,0.7193100035190583,0.0033295537383578,0.7948299944400787,0.0055724512360195,0.01,0.0,42,1035_1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
1,0.8112120032310486,0.0007348484756593,0.8215699970722199,0.0058871121248173,0.01,0.0,42,1035_1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
2,0.8309720158576965,0.0009549130701898,0.8352500021457672,0.0052244142179489,0.01,0.0,42,1035_1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
3,0.8427179992198944,0.0006228477611738,0.8441199958324432,0.0055072282500828,0.01,0.0,42,1035_1035,784,10,mlp-fmnist-sgd,0,10,True,fmnist
