algo_layer,algo_perc,binarize_dataset,bs,dataset,device,epoch_interval_switch,epochs,freeze_first,freeze_last,grouping_factor,input_dim,k,layers,log,n_runs,prob_reinforcement,prob_update,project,rescale,rm_pixel,rob,same_random_classifier,save_results,seed,thermometer_bits,thetam,train_dim,val_dim,step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc
one,cp+r,True,100,imagenettetl,0,0,50,False,True,1,,1,135,False,10,0.5,1,bnn-imagenette-grouping-factor,False,False,33,False,True,42,0,0,,3394,50.0,98.966,0.1803441155125371,84.72893341190334,0.7497991351299623
one,cp+r,True,100,imagenettetl,0,0,50,False,True,1,,1,2025,False,10,0.5,1,bnn-imagenette-grouping-factor,False,False,506,False,True,42,0,0,,3394,50.0,99.857,0.0268514431641971,85.93400117855037,0.5234608178535968
one,cp+r,True,100,imagenettetl,0,0,50,False,True,1,,1,525,False,10,0.5,1,bnn-imagenette-grouping-factor,False,False,131,False,True,42,0,0,,3394,50.0,99.741,0.0524309069156691,85.54507955215085,0.6352430295372641
one,cp+r,True,100,imagenettetl,0,0,50,False,True,1,,1,75,False,10,0.5,1,bnn-imagenette-grouping-factor,False,False,18,False,True,42,0,0,,3394,50.0,98.1,0.3021919919521362,84.16322922804949,0.7018623758787964
one,cp+r,True,100,imagenettetl,0,0,50,False,True,105,,1,525,False,10,0.5,1,bnn-imagenette-grouping-factor,False,False,131,False,True,42,0,0,,3394,50.0,98.975,0.0787718223732283,90.38302887448438,0.4398298870226774
one,cp+r,True,100,imagenettetl,0,0,50,False,True,135,,1,135,False,10,0.5,1,bnn-imagenette-grouping-factor,False,False,33,False,True,42,0,0,,3394,50.0,97.517,0.2084730198370991,89.33706540954624,0.334760696224761
one,cp+r,True,100,imagenettetl,0,0,50,False,True,135,,1,2025,False,10,0.5,1,bnn-imagenette-grouping-factor,False,False,506,False,True,42,0,0,,3394,50.0,98.482,0.0705407683541916,90.59516794342956,0.28162175946608
one,cp+r,True,100,imagenettetl,0,0,50,False,True,15,,1,135,False,10,0.5,1,bnn-imagenette-grouping-factor,False,False,33,False,True,42,0,0,,3394,50.0,99.998,0.004000000000002,87.73718326458456,0.4299690358740041
one,cp+r,True,100,imagenettetl,0,0,50,False,True,15,,1,2025,False,10,0.5,1,bnn-imagenette-grouping-factor,False,False,506,False,True,42,0,0,,3394,50.0,100.0,0.0,89.05126694166174,0.403599736621513
one,cp+r,True,100,imagenettetl,0,0,50,False,True,15,,1,525,False,10,0.5,1,bnn-imagenette-grouping-factor,False,False,131,False,True,42,0,0,,3394,50.0,100.0,0.0,88.86859163229227,0.4702770466170618
