step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,thetam,project,n_runs,rob,k,epoch_interval_switch,input_dim,rescale,prob_update,device,save_results,freeze_first,algo_layer,layers,algo_perc,grouping_factor,log,rm_pixel,epochs,binarize_dataset,thermometer_bits,same_random_classifier,train_dim,dataset,val_dim,prob_reinforcement,seed,bs,freeze_last
50.0,99.779,0.1301883251294088,87.24219210371243,0.5559211038336254,0,bnn-imagenettetl-rob,10,0.0,1,0,,False,1,0,True,False,one,525,cp+r,105,False,False,50,True,0,False,,imagenettetl,3394,0.5,42,100,True
50.0,98.95,0.0769415362466848,90.1915144372422,0.3986763507746981,0,bnn-imagenettetl-rob,10,0.25,1,0,,False,1,0,True,False,one,525,cp+r,105,False,False,50,True,0,False,,imagenettetl,3394,0.5,42,100,True
50.0,96.802,0.097549987186058,90.32999410724808,0.4351868105512491,0,bnn-imagenettetl-rob,10,0.5,1,0,,False,1,0,True,False,one,525,cp+r,105,False,False,50,True,0,False,,imagenettetl,3394,0.5,42,100,True
50.0,94.802,0.1074057726567776,89.79080730701239,0.4703601075308291,0,bnn-imagenettetl-rob,10,0.75,1,0,,False,1,0,True,False,one,525,cp+r,105,False,False,50,True,0,False,,imagenettetl,3394,0.5,42,100,True
50.0,92.72899999999998,0.1440451318163883,88.54743665291691,0.3931066241811274,0,bnn-imagenettetl-rob,10,1.0,1,0,,False,1,0,True,False,one,525,cp+r,105,False,False,50,True,0,False,,imagenettetl,3394,0.5,42,100,True
50.0,98.512,0.206048537971032,85.67472009428403,0.661564747233292,0,bnn-imagenettetl-rob,10,0.0,1,0,,False,1,0,True,False,one,135,cp+r,135,False,False,50,True,0,False,,imagenettetl,3394,0.5,42,100,True
50.0,97.496,0.1678809101714665,89.47849145550973,0.3452292736562767,0,bnn-imagenettetl-rob,10,0.25,1,0,,False,1,0,True,False,one,135,cp+r,135,False,False,50,True,0,False,,imagenettetl,3394,0.5,42,100,True
50.0,95.329,0.1960331604601653,89.56982911019446,0.4312190071060871,0,bnn-imagenettetl-rob,10,0.5,1,0,,False,1,0,True,False,one,135,cp+r,135,False,False,50,True,0,False,,imagenettetl,3394,0.5,42,100,True
50.0,93.383,0.3042712605554498,88.81555686505598,0.385108357277418,0,bnn-imagenettetl-rob,10,0.75,1,0,,False,1,0,True,False,one,135,cp+r,135,False,False,50,True,0,False,,imagenettetl,3394,0.5,42,100,True
50.0,91.724,0.3283047364873041,87.76075427224514,0.3548395808444211,0,bnn-imagenettetl-rob,10,1.0,1,0,,False,1,0,True,False,one,135,cp+r,135,False,False,50,True,0,False,,imagenettetl,3394,0.5,42,100,True
50.0,99.93,0.064342831768581,87.1508544490277,0.4038685128640742,0,bnn-imagenettetl-rob,10,0.0,1,0,,False,1,0,True,False,one,2025,cp+r,135,False,False,50,True,0,False,,imagenettetl,3394,0.5,42,100,True
50.0,98.468,0.0887468309293338,90.65409546258104,0.3384615316623299,0,bnn-imagenettetl-rob,10,0.25,1,0,,False,1,0,True,False,one,2025,cp+r,135,False,False,50,True,0,False,,imagenettetl,3394,0.5,42,100,True
50.0,96.323,0.08637708029333,90.64230995875072,0.3403542505172339,0,bnn-imagenettetl-rob,10,0.5,1,0,,False,1,0,True,False,one,2025,cp+r,135,False,False,50,True,0,False,,imagenettetl,3394,0.5,42,100,True
50.0,94.564,0.113859562619922,89.89687684148497,0.4219494300155134,0,bnn-imagenettetl-rob,10,0.75,1,0,,False,1,0,True,False,one,2025,cp+r,135,False,False,50,True,0,False,,imagenettetl,3394,0.5,42,100,True
50.0,92.329,0.102024506859872,88.5061873895109,0.4064397214729951,0,bnn-imagenettetl-rob,10,1.0,1,0,,False,1,0,True,False,one,2025,cp+r,135,False,False,50,True,0,False,,imagenettetl,3394,0.5,42,100,True
50.0,99.038,0.1074988372030126,85.45374189746613,0.390002693857031,0,bnn-imagenettetl-rob,10,0.0,1,0,,False,1,0,True,False,one,75,cp+r,75,False,False,50,True,0,False,,imagenettetl,3394,0.5,42,100,True
50.0,98.674,0.1080925529349729,88.45609899823218,0.4915770238768234,0,bnn-imagenettetl-rob,10,0.25,1,0,,False,1,0,True,False,one,75,cp+r,75,False,False,50,True,0,False,,imagenettetl,3394,0.5,42,100,True
50.0,96.313,0.2047461843356299,88.6977018267531,0.4160967223078318,0,bnn-imagenettetl-rob,10,0.5,1,0,,False,1,0,True,False,one,75,cp+r,75,False,False,50,True,0,False,,imagenettetl,3394,0.5,42,100,True
50.0,93.521,0.4144019787597497,88.12021213906894,0.5193985326911091,0,bnn-imagenettetl-rob,10,0.75,1,0,,False,1,0,True,False,one,75,cp+r,75,False,False,50,True,0,False,,imagenettetl,3394,0.5,42,100,True
50.0,92.524,0.4107602707176047,87.7106658809664,0.5953502407560443,0,bnn-imagenettetl-rob,10,1.0,1,0,,False,1,0,True,False,one,75,cp+r,75,False,False,50,True,0,False,,imagenettetl,3394,0.5,42,100,True
