step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
0,0.2155000016093254,0.0214475682910857,0.2962875708937645,0.0416028295208309,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
1,0.3933100014925003,0.0849651409417819,0.4916617572307586,0.0890655031524598,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
2,0.5725199967622757,0.0930584322860015,0.6298173248767853,0.0912112715148553,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
3,0.6926699936389923,0.0838953308680731,0.728049498796463,0.0644397340656593,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
4,0.7727100014686584,0.0504062385099687,0.7901001811027527,0.0286363483771119,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
5,0.8227199971675873,0.0263340370952122,0.817413079738617,0.0187881237808642,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
6,0.8462700009346008,0.019411436767811,0.8327342391014099,0.0140341930068391,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
7,0.8632700026035309,0.01624967963756,0.8424867510795593,0.0109343534897447,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
8,0.8768500030040741,0.0122051098028162,0.850972306728363,0.0089210523560277,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
9,0.8878100097179413,0.0095879590641496,0.8560989975929261,0.0073861888522553,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
10,0.8971099972724914,0.0081679096129784,0.8599292874336243,0.00621567205276,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
11,0.9053200006484984,0.0075885125859209,0.8633765339851379,0.0060483914864861,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
12,0.9122600078582764,0.0069558884612197,0.865910428762436,0.006266089658465,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
13,0.9188999950885772,0.0065046065176109,0.8680907428264618,0.0062572240046643,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
14,0.925169998407364,0.0060646669497208,0.8694166123867035,0.0069870760033232,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
15,0.9310900032520294,0.0056505665443644,0.870477306842804,0.0069925376700761,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
16,0.9365999937057496,0.0053045257644555,0.8706540942192078,0.0066681970749961,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
17,0.9418099999427796,0.0049147653804499,0.8711844444274902,0.0063244898099834,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
18,0.946789997816086,0.0047041440529127,0.8722451448440551,0.0064149880788466,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
19,0.9512300074100496,0.0041274847039811,0.8726576387882232,0.0065018202826288,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
20,0.9553399980068208,0.0034044667018569,0.8726576328277588,0.0066261445465879,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
21,0.959259992837906,0.0034200072288772,0.8730701267719269,0.0067223802332856,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
22,0.9633299946784972,0.0033657199948339,0.8730995893478394,0.0065327792668053,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
23,0.9669000029563904,0.0032872488853059,0.8736299455165863,0.0067348454047898,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
24,0.9703400015830994,0.0032227929264725,0.873453152179718,0.0066096814166226,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
25,0.9733700037002564,0.0030597509978332,0.8732763707637787,0.007158490141314,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
26,0.9761399924755096,0.003086481452049,0.8731290519237518,0.0072497621108622,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
27,0.9789200007915496,0.0026437933953253,0.8728344202041626,0.0072089369559613,0.01,42,10_10,2304,10,mlp-bimagenettetl-sgd,0,10,True,bimagenettetl
