step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,lr,momentum,seed,layers,input_dim,n_runs,project,device,num_classes,save_results,dataset
0,0.8469300031661987,0.00311834922596,0.9017678260803222,0.0063946589630056,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
1,0.9230700075626374,0.001874590181325,0.912669426202774,0.0064742569930452,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
2,0.94057999253273,0.0021604750689903,0.9176782488822935,0.0058084742025203,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
3,0.9531200110912325,0.0015841736917596,0.9197701692581176,0.0056475986673191,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
4,0.9628600060939788,0.0013734598147241,0.9217442572116852,0.0049709099672574,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
5,0.97085000872612,0.0013894230334289,0.9232763707637788,0.0046850075135466,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
6,0.9771800100803376,0.0011142700253244,0.9241602838039398,0.0040681277112473,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
7,0.982919991016388,0.0008588409666201,0.924513840675354,0.0041223938177044,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
8,0.986890000104904,0.0005185492058412,0.9246906459331512,0.0040745263091922,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
9,0.9903299987316132,0.0003318077252685,0.9248674154281616,0.0037011988658776,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
10,0.9931200087070464,0.0003919140433117,0.924867421388626,0.0031815400581241,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
11,0.9949499905109406,0.0003354116541542,0.925014728307724,0.0032895315352349,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
12,0.9963700115680696,0.0001345359712702,0.9251620590686798,0.0034335151932095,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
13,0.9972900092601776,0.0002773044285451,0.925545084476471,0.0032625064694339,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
14,0.9980299949645997,0.0002758557732053,0.9253388345241548,0.0030851215576622,0.01,0.0,42,1035,2304,10,mlp-imagenettetl-sgd,0,10,True,imagenettetl
