step,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,log,thetam,algo_perc,dataset,bs,rob,project,layers,input_dim,same_random_classifier,rm_pixel,binarize_dataset,save_results,epochs,seed,train_dim,n_runs,device,algo_layer,thermometer_bits,freeze_last,k,grouping_factor,epoch_interval_switch,prob_reinforcement,prob_update,val_dim,rescale,freeze_first
0.0,9.96,0.640046873283512,9.875000000000002,0.7659144860883622,False,0,cp+r,synthetic,100,131,bnn-synthetic-localloss,525_525,,False,False,False,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,2000,False,False
1.0,19.085,0.8934903468980517,32.605000000000004,1.1114067662201808,False,0,cp+r,synthetic,100,131,bnn-synthetic-localloss,525_525,,False,False,False,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,2000,False,False
2.0,54.98,1.4013136693831256,69.56999999999998,1.1057124400132263,False,0,cp+r,synthetic,100,131,bnn-synthetic-localloss,525_525,,False,False,False,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,2000,False,False
3.0,83.589,0.6701559519992343,86.00500000000001,0.8091507894082544,False,0,cp+r,synthetic,100,131,bnn-synthetic-localloss,525_525,,False,False,False,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,2000,False,False
4.0,91.994,0.3215649234602568,90.68,0.8053570636680357,False,0,cp+r,synthetic,100,131,bnn-synthetic-localloss,525_525,,False,False,False,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,2000,False,False
5.0,94.66,0.1842823919966333,92.245,0.4719374958614758,False,0,cp+r,synthetic,100,131,bnn-synthetic-localloss,525_525,,False,False,False,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,2000,False,False
6.0,95.70300000000002,0.1503362896974627,93.125,0.5662375826453039,False,0,cp+r,synthetic,100,131,bnn-synthetic-localloss,525_525,,False,False,False,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,2000,False,False
7.0,96.435,0.155450956896381,93.5,0.6659579566308979,False,0,cp+r,synthetic,100,131,bnn-synthetic-localloss,525_525,,False,False,False,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,2000,False,False
8.0,96.989,0.1175967686630912,93.985,0.4242935304715357,False,0,cp+r,synthetic,100,131,bnn-synthetic-localloss,525_525,,False,False,False,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,2000,False,False
9.0,97.273,0.1649878783426217,94.14,0.4493328387732184,False,0,cp+r,synthetic,100,131,bnn-synthetic-localloss,525_525,,False,False,False,True,50,42,,10,0,one,0,True,1,105,0,0.5,1,2000,False,False
